ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
110117,FAL,6194915,SB          0011,59.0,GG,CAB_A,2022-07-27,07:10:54,35510,50,1,3,772,,PI_REVERSE,,,1052.25,,,,F1,,,,2022-07-27 07:10:54,SB__________0011\2022-07_JULY\2022-07-27\SB__________0011_22-07-27_05-18-22_CANMVB_019.TXT.GZ,9.15.X.4F,SSC,ERRORE_NON_VITALE,672,6795808,ID_PI_ALARM_ML,0
110130,FAL,6194915,SB          0011,59.0,GG,CAB_A,2022-07-27,11:23:02,126401,47,1,3,772,,PI_REVERSE,,,1052.25,,,,F1,,,,2022-07-27 11:23:02,SB__________0011\2022-07_JULY\2022-07-27\SB__________0011_22-07-27_05-18-22_CANMVB_019.TXT.GZ,9.15.X.4F,SSC,ERRORE_NON_VITALE,669,21924808,ID_PI_ALARM_ML,0
7794452,FAL,6196982,SB          0009,,,CAB_A,2022-07-27,17:49:44,125962,49,1,3,772,PROTEZIONE,PI_REVERSE,VERDE,DIR_REVERSE,1867.0,2365.0,2365.0,2365.0,F1,38.0,0.0,100.0,2022-07-27 17:49:44,,,,,,,ID_PI_ALARM_ML,0
110172,FAL,6197260,SB          0011,59.0,LI,CAB_A,2022-07-27,19:30:58,136256,51,1,3,772,,PI_REVERSE,,,1052.25,,,,F1,,,,2022-07-27 19:30:58,SB__________0011\2022-07_JULY\2022-07-27\SB__________0011_22-07-27_11-54-47_CANMVB_031.TXT.GZ,9.15.X.4F,SSC,ERRORE_NON_VITALE,674,27414059,ID_PI_ALARM_ML,0
7794489,FAL,6196982,SB          0009,,,CAB_A,2022-07-27,20:44:49,171957,50,1,3,772,PROTEZIONE,PI_REVERSE,VERDE,DIR_REVERSE,2082.0,2637.0,2637.0,2637.0,F1,41.0,0.0,100.0,2022-07-27 20:44:49,,,,,,,ID_PI_ALARM_ML,0
110179,FAL,6197260,SB          0011,59.0,GG,CAB_A,2022-07-27,21:50:11,181192,51,1,3,772,,PI_REVERSE,,,1052.25,,,,F1,,,,2022-07-27 21:50:11,SB__________0011\2022-07_JULY\2022-07-27\SB__________0011_22-07-27_11-54-47_CANMVB_031.TXT.GZ,9.15.X.4F,SSC,ERRORE_NON_VITALE,672,35767060,ID_PI_ALARM_ML,0
7794526,FAL,6196982,SB          0009,,,CAB_A,2022-07-27,22:19:45,216947,48,1,3,772,PROTEZIONE,PI_REVERSE,VERDE,DIR_REVERSE,2109.0,2671.0,2671.0,2671.0,F1,44.0,0.0,100.0,2022-07-27 22:19:45,,,,,,,ID_PI_ALARM_ML,0
110187,FAL,6197987,F300        0314,59.0,LI,CAB_A,2022-07-28,06:15:24,33460,49,1,3,772,,PI_REVERSE,,,1052.25,,,,F1,,,,2022-07-28 06:15:24,F300________0314\2022-07_JULY\2022-07-28\F300________0314_22-07-28_04-46-15_CANMVB_012.TXT.GZ,9.15.X.4F,SSC,ERRORE_NON_VITALE,634,5249797,ID_PI_ALARM_ML,0
7796188,FAL,6198206,SB          0009,,,CAB_A,2022-07-28,07:09:39,34874,48,1,3,772,PROTEZIONE,PI_REVERSE,VERDE,DIR_REVERSE,2105.0,2666.0,2666.0,2666.0,F1,43.0,0.0,100.0,2022-07-28 07:09:39,,,,,,,ID_PI_ALARM_ML,0
110196,FAL,6198076,SB          0011,59.0,GG,CAB_A,2022-07-28,07:51:36,20372,49,1,3,772,,PI_REVERSE,,,1052.25,,,,F1,,,,2022-07-28 07:51:36,SB__________0011\2022-07_JULY\2022-07-28\SB__________0011_22-07-28_06-58-00_CANMVB_010.TXT.GZ,9.15.X.4F,SSC,ERRORE_NON_VITALE,670,3262558,ID_PI_ALARM_ML,0
