ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7713561,FAL,6118020,ST          0006,58.0,--,CAB_B,2022-07-02,09:24:15,120828,24,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,590.0,747.0,747.0,747.0,F2,4.0,29.0,12.0,2022-07-02 09:24:15,,,,,,,ID_TRAIN_ALARM_ML,0
7713562,FAL,6118020,ST          0006,,,CAB_B,2022-07-02,09:25:26,121346,23,3,1,8,AVVISO,PI_NORMAL,GIALLO,NEUTRO,2495.0,3160.0,3160.0,3160.0,F1,106.0,0.0,100.0,2022-07-02 09:25:26,,,,,,,ID_TRAIN_ALARM_ML,0
7713563,FAL,6118020,ST          0006,,,CAB_B,2022-07-02,09:27:20,121973,9,3,1,9,PROTEZIONE,PI_NORMAL,ROSSO_GIALLO,DIR_NORMAL,2612.0,3308.0,3308.0,3308.0,F1,243.0,1.0,100.0,2022-07-02 09:27:20,,,,,,,ID_TRAIN_ALARM_ML,0
7698962,FAL,6101214,F300        0314,,,CAB_B,2022-06-27,07:44:27,57649,21,1,3,766,PARTENZA_DEV,PI_NORMAL,VERDE,NEUTRO,2007.0,2542.0,2542.0,2542.0,F1,74.0,0.0,100.0,2022-06-27 07:44:27,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7701187,FAL,6103532,SB          0011,58.0,--,CAB_A,2022-06-27,22:14:45,75665,25,1,3,766,PARTENZA_DEV,PI_NORMAL,NESSUNO,NEUTRO,22.0,28.0,28.0,28.0,F1,2.0,0.0,100.0,2022-06-27 22:14:45,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7702283,FAL,6104871,SB          0011,,,CAB_B,2022-06-28,06:05:39,15261,14,1,3,766,PARTENZA_DEV,PI_NORMAL,VERDE,NEUTRO,2730.0,3458.0,3458.0,3458.0,F1,175.0,1.0,99.0,2022-06-28 06:05:39,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7702157,FAL,6104734,SB          0009,,,CAB_B,2022-06-28,07:04:38,89,17,1,3,766,PARTENZA_DEV,PI_NORMAL,VERDE,NEUTRO,2856.0,3617.0,3617.0,3617.0,F1,139.0,1.0,99.0,2022-06-28 07:04:38,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7701944,FAL,6104511,F300        0305,,,CAB_B,2022-06-28,07:44:27,61056,23,1,3,766,PARTENZA_DEV,PI_NORMAL,VERDE,NEUTRO,2234.0,2830.0,2830.0,2830.0,F1,71.0,2.0,97.0,2022-06-28 07:44:27,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7704769,FAL,6107958,F300        0314,,,CAB_B,2022-06-29,07:43:59,56794,14,1,3,766,PARTENZA_DEV,PI_NORMAL,VERDE,NEUTRO,2549.0,3229.0,3229.0,3229.0,F1,134.0,0.0,100.0,2022-06-29 07:43:59,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7706336,FAL,6110052,SB          0011,58.0,--,CAB_A,2022-06-29,20:19:43,167618,21,1,3,766,PARTENZA_DEV,PI_NORMAL,NESSUNO,NEUTRO,9.0,11.0,11.0,11.0,F1,1.0,1.0,50.0,2022-06-29 20:19:43,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
