ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7802094,FAL,6203587,SB          0001,,,CAB_B,2022-07-29,21:35:16,22852,67,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2586.0,3275.0,3275.0,3275.0,F1,35.0,0.0,100.0,2022-07-29 21:35:16,,,,,,,ID_PI_ALARM_ML,0
7801962,FAL,6203583,SBT         0005,,,CAB_B,2022-07-29,22:59:29,83234,73,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2575.0,3262.0,3262.0,3262.0,F1,32.0,0.0,100.0,2022-07-29 22:59:29,,,,,,,ID_PI_ALARM_ML,0
7803356,FAL,6204458,SBT         0007,,,CAB_B,2022-07-30,04:44:08,21836,56,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2074.0,2627.0,2627.0,2627.0,F1,35.0,0.0,100.0,2022-07-30 04:44:08,,,,,,,ID_PI_ALARM_ML,0
7802855,FAL,6203920,ST          0006,,,CAB_B,2022-07-30,05:51:49,22882,81,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2699.0,3419.0,3419.0,3419.0,F1,32.0,0.0,100.0,2022-07-30 05:51:49,,,,,,,ID_PI_ALARM_ML,0
7803441,FAL,6204461,SB          0001,,,CAB_B,2022-07-30,07:01:36,22864,69,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2369.0,3001.0,3001.0,3001.0,F1,32.0,1.0,97.0,2022-07-30 07:01:36,,,,,,,ID_PI_ALARM_ML,0
7803677,FAL,6204984,ST1NS       0007,,,CAB_B,2022-07-30,08:37:11,22905,70,3,1,87,AVVISO,PI_NORMAL,GIALLO_VERDE,DIR_NORMAL,2215.0,2806.0,2806.0,2806.0,F1,28.0,0.0,100.0,2022-07-30 08:37:11,,,,,,,ID_PI_ALARM_ML,0
7803635,FAL,6204982,SBT         0007,,,CAB_B,2022-07-30,11:36:48,22941,75,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1267.0,1605.0,1605.0,1605.0,F1,18.0,0.0,100.0,2022-07-30 11:36:48,,,,,,,ID_PI_ALARM_ML,0
7804069,FAL,6205288,SB          0002,,,CAB_B,2022-07-30,12:18:45,22846,75,3,1,87,AVVISO,PI_NORMAL,GIALLO_VERDE,DIR_NORMAL,1888.0,2391.0,2391.0,2391.0,F1,19.0,0.0,100.0,2022-07-30 12:18:45,,,,,,,ID_PI_ALARM_ML,0
7803793,FAL,6204985,ST          0002,,,CAB_B,2022-07-30,12:36:12,21643,62,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1988.0,2518.0,2518.0,2518.0,F1,28.0,0.0,100.0,2022-07-30 12:36:12,,,,,,,ID_PI_ALARM_ML,0
7804400,FAL,6205500,SB          0001,,,CAB_B,2022-07-30,14:31:04,22859,75,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2126.0,2693.0,2693.0,2693.0,F1,23.0,1.0,96.0,2022-07-30 14:31:04,,,,,,,ID_PI_ALARM_ML,0
7804483,FAL,6205710,SBT         0007,,,CAB_B,2022-07-30,14:58:11,22939,76,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1563.0,1980.0,1980.0,1980.0,F1,21.0,1.0,95.0,2022-07-30 14:58:11,,,,,,,ID_PI_ALARM_ML,0
7804528,FAL,6205711,ST1NS       0007,,,CAB_B,2022-07-30,15:37:16,25225,81,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1708.0,2163.0,2163.0,2163.0,F1,22.0,0.0,100.0,2022-07-30 15:37:16,,,,,,,ID_PI_ALARM_ML,0
7804761,FAL,6205960,SB          0002,,,CAB_B,2022-07-30,16:18:07,22863,78,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1794.0,2272.0,2272.0,2272.0,F1,21.0,0.0,100.0,2022-07-30 16:18:07,,,,,,,ID_PI_ALARM_ML,0
7804803,FAL,6206115,SB          0001,,,CAB_B,2022-07-30,18:49:08,22852,73,3,1,87,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2479.0,3140.0,3140.0,3140.0,F1,31.0,1.0,97.0,2022-07-30 18:49:08,,,,,,,ID_PI_ALARM_ML,0
7804872,FAL,6206289,SBT         0007,,,CAB_B,2022-07-30,20:23:14,22972,73,3,1,87,AVVISO,PI_NORMAL,GIALLO_VERDE,DIR_NORMAL,1928.0,2442.0,2442.0,2442.0,F1,24.0,0.0,100.0,2022-07-30 20:23:14,,,,,,,ID_PI_ALARM_ML,0
7802012,FAL,6203586,SBT         0007,,,CAB_B,2022-07-29,20:58:13,32732,65,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1879.0,2380.0,2380.0,2380.0,F1,28.0,0.0,100.0,2022-07-29 20:58:13,,,,,,,ID_PI_ALARM_ML,1
7802098,FAL,6203587,SB          0001,,,CAB_B,2022-07-29,21:48:29,30269,73,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2361.0,2990.0,2990.0,2990.0,F1,30.0,0.0,100.0,2022-07-29 21:48:29,,,,,,,ID_PI_ALARM_ML,1
7801966,FAL,6203583,SBT         0005,,,CAB_B,2022-07-29,23:07:51,90661,73,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2310.0,2926.0,2926.0,2926.0,F1,32.0,0.0,100.0,2022-07-29 23:07:51,,,,,,,ID_PI_ALARM_ML,1
7803360,FAL,6204458,SBT         0007,,,CAB_B,2022-07-30,04:53:40,29276,60,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1805.0,2286.0,2286.0,2286.0,F1,28.0,1.0,97.0,2022-07-30 04:53:40,,,,,,,ID_PI_ALARM_ML,1
7802859,FAL,6203920,ST          0006,,,CAB_B,2022-07-30,05:59:57,30297,81,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2381.0,3016.0,3016.0,3016.0,F1,30.0,0.0,100.0,2022-07-30 05:59:57,,,,,,,ID_PI_ALARM_ML,1
7803445,FAL,6204461,SB          0001,,,CAB_B,2022-07-30,07:10:47,30276,61,3,1,103,AVVISO,PI_NORMAL,GIALLO,DIR_NORMAL,2518.0,3189.0,3189.0,3189.0,F1,37.0,0.0,100.0,2022-07-30 07:10:47,,,,,,,ID_PI_ALARM_ML,1
7803681,FAL,6204984,ST1NS       0007,,,CAB_B,2022-07-30,08:48:13,30339,74,3,1,103,AVVISO,PI_NORMAL,GIALLO_VERDE,DIR_NORMAL,2286.0,2895.0,2895.0,2895.0,F1,29.0,1.0,97.0,2022-07-30 08:48:13,,,,,,,ID_PI_ALARM_ML,1
7803639,FAL,6204982,SBT         0007,,,CAB_B,2022-07-30,11:45:36,30374,84,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1133.0,1435.0,1435.0,1435.0,F1,13.0,0.0,100.0,2022-07-30 11:45:36,,,,,,,ID_PI_ALARM_ML,1
7804073,FAL,6205288,SB          0002,,,CAB_B,2022-07-30,12:28:28,30248,73,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1992.0,2523.0,2523.0,2523.0,F1,24.0,1.0,96.0,2022-07-30 12:28:28,,,,,,,ID_PI_ALARM_ML,1
7804404,FAL,6205500,SB          0001,,,CAB_B,2022-07-30,14:40:03,30269,69,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2231.0,2826.0,2826.0,2826.0,F1,29.0,1.0,97.0,2022-07-30 14:40:03,,,,,,,ID_PI_ALARM_ML,1
7804487,FAL,6205710,SBT         0007,,,CAB_B,2022-07-30,15:11:16,30375,77,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1730.0,2191.0,2191.0,2191.0,F1,16.0,0.0,100.0,2022-07-30 15:11:16,,,,,,,ID_PI_ALARM_ML,1
7804532,FAL,6205711,ST1NS       0007,,,CAB_B,2022-07-30,15:45:01,32658,83,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2028.0,2569.0,2569.0,2569.0,F1,19.0,1.0,95.0,2022-07-30 15:45:01,,,,,,,ID_PI_ALARM_ML,1
7804765,FAL,6205960,SB          0002,,,CAB_B,2022-07-30,16:33:26,30272,82,3,1,103,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1796.0,2275.0,2275.0,2275.0,F1,22.0,0.0,100.0,2022-07-30 16:33:26,,,,,,,ID_PI_ALARM_ML,1
