ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7200125,FAL,5630413,SBT         0007,,,CAB_B,2022-01-14,11:05:19,45612,84,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,1983.0,2512.0,2512.0,2512.0,F1,23.0,1.0,96.0,2022-01-14 11:05:19,,,,,,,ID_PI_ALARM_ML,0
7200278,FAL,5630466,ST          0001,,,CAB_B,2022-01-14,12:35:40,47469,86,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2766.0,3503.0,3503.0,3503.0,F1,30.0,0.0,100.0,2022-01-14 12:35:40,,,,,,,ID_PI_ALARM_ML,0
7199594,FAL,5629807,ST          0006,,,CAB_B,2022-01-14,13:42:41,45513,83,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2221.0,2813.0,2813.0,2813.0,F1,27.0,0.0,100.0,2022-01-14 13:42:41,,,,,,,ID_PI_ALARM_ML,0
7199637,FAL,5629917,SB          0002,,,CAB_B,2022-01-14,14:49:56,45514,88,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2142.0,2713.0,2713.0,2713.0,F1,25.0,0.0,100.0,2022-01-14 14:49:56,,,,,,,ID_PI_ALARM_ML,0
7199931,FAL,5630226,ST          0003,,,CAB_B,2022-01-14,15:06:52,48108,83,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2265.0,2869.0,2869.0,2869.0,F1,27.0,0.0,100.0,2022-01-14 15:06:52,,,,,,,ID_PI_ALARM_ML,0
7199799,FAL,5630081,SBT         0005,,,CAB_B,2022-01-14,16:05:48,45609,88,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2220.0,2812.0,2812.0,2812.0,F1,25.0,0.0,100.0,2022-01-14 16:05:48,,,,,,,ID_PI_ALARM_ML,0
7200361,FAL,5630466,ST          0001,,,CAB_B,2022-01-14,16:59:06,168039,76,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2836.0,3592.0,3592.0,3592.0,F1,32.0,0.0,100.0,2022-01-14 16:59:06,,,,,,,ID_PI_ALARM_ML,0
7200409,FAL,5630487,ST          0005,,,CAB_B,2022-01-14,18:03:17,47661,89,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2549.0,3229.0,3229.0,3229.0,F1,28.0,2.0,93.0,2022-01-14 18:03:17,,,,,,,ID_PI_ALARM_ML,0
7200823,FAL,5631002,ST          0006,,,CAB_B,2022-01-14,18:49:14,50737,86,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2594.0,3286.0,3286.0,3286.0,F1,29.0,1.0,97.0,2022-01-14 18:49:14,,,,,,,ID_PI_ALARM_ML,0
7201315,FAL,5631462,SBT         0005,,,CAB_B,2022-01-14,19:16:05,45646,83,3,1,137,AVVISO,PI_NORMAL,VERDE,DIR_NORMAL,2527.0,3201.0,3201.0,3201.0,F1,26.0,0.0,100.0,2022-01-14 19:16:05,,,,,,,ID_PI_ALARM_ML,0
7200572,FAL,5630601,ST          0003,,,CAB_B,2022-01-14,20:25:15,45793,83,3,1,137,AVVISO,PI_NORMAL,GIALLO,DIR_NORMAL,2291.0,2902.0,2902.0,2902.0,F1,28.0,1.0,97.0,2022-01-14 20:25:15,,,,,,,ID_PI_ALARM_ML,0
94417,FAL,5631084,SBT         0007,51.0,--,CAB_B,2022-01-14,21:09:21,48215,90,3,1,137,,PI_NORMAL,,,0.0,,,,F1,,,,2022-01-14 21:09:21,SBT_________0007\2022-01_JANUARY\2022-01-14\SBT_________0007_22-01-14_19-11-19_CANMVB_00.TXT.GZ,9.15.X.4F,PRED_SSC_ATTIVO,ERRORE_VITALE,3043,7085799,ID_PI_ALARM_ML,0
94413,FAL,5631001,ST          0005,51.0,--,CAB_B,2022-01-14,21:55:38,47836,91,3,1,137,,PI_NORMAL,,,0.0,,,,F1,,,,2022-01-14 21:55:38,ST__________0005\2022-01_JANUARY\2022-01-14\ST__________0005_22-01-14_20-35-18_CANMVB_00.TXT.GZ,9.15.X.4F,PRED_SSC_ATTIVO,ERRORE_VITALE,3045,4825058,ID_PI_ALARM_ML,0
94416,FAL,5631002,ST          0006,51.0,--,CAB_B,2022-01-14,22:33:58,171110,85,3,1,137,,PI_NORMAL,,,0.0,,,,F1,,,,2022-01-14 22:33:58,ST__________0006\2022-01_JANUARY\2022-01-14\ST__________0006_22-01-14_16-01-06_CANMVB_00.TXT.GZ,9.15.X.4F,PRED_SSC_ATTIVO,ERRORE_VITALE,3041,23581053,ID_PI_ALARM_ML,0
94451,FAL,5632151,SBT         0007,51.0,--,CAB_B,2022-01-15,05:12:00,44729,73,3,1,137,,PI_NORMAL,,,0.0,,,,F1,,,,2022-01-15 05:12:00,SBT_________0007\2022-01_JANUARY\2022-01-15\SBT_________0007_22-01-15_03-59-14_CANMVB_00.TXT.GZ,9.15.X.4F,PRED_SSC_ATTIVO,ERRORE_VITALE,3042,4370801,ID_PI_ALARM_ML,0
