ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7277729,FAL,5702902,ST          0008,,,CAB_B,2022-02-10,09:20:01,139173,88,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,1427.0,1807.0,1807.0,1807.0,F1,13.0,1.0,93.0,2022-02-10 09:20:01,,,,,,,ID_PI_ALARM_ML,0
7277921,FAL,5703082,ST          0003,,,CAB_B,2022-02-10,10:39:27,80166,89,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,2504.0,3172.0,3172.0,3172.0,F1,27.0,0.0,100.0,2022-02-10 10:39:27,,,,,,,ID_PI_ALARM_ML,0
7280280,FAL,5704958,SB          0002,,,CAB_B,2022-02-10,11:23:26,7842,88,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,2094.0,2652.0,2652.0,2652.0,F1,25.0,1.0,96.0,2022-02-10 11:23:26,,,,,,,ID_PI_ALARM_ML,0
7280312,FAL,5704958,SB          0002,,,CAB_B,2022-02-10,12:51:41,60213,89,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,2171.0,2750.0,2750.0,2750.0,F1,24.0,1.0,96.0,2022-02-10 12:51:41,,,,,,,ID_PI_ALARM_ML,0
7280344,FAL,5704958,SB          0002,,,CAB_B,2022-02-10,15:18:45,112562,88,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,2161.0,2737.0,2737.0,2737.0,F1,22.0,0.0,100.0,2022-02-10 15:18:45,,,,,,,ID_PI_ALARM_ML,0
7280059,FAL,5704795,ST          0008,,,CAB_B,2022-02-10,16:09:52,19608,88,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,1512.0,1915.0,1915.0,1915.0,F1,12.0,0.0,100.0,2022-02-10 16:09:52,,,,,,,ID_PI_ALARM_ML,0
7280376,FAL,5704958,SB          0002,,,CAB_B,2022-02-10,17:04:53,164915,87,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,1993.0,2524.0,2524.0,2524.0,F1,22.0,0.0,100.0,2022-02-10 17:04:53,,,,,,,ID_PI_ALARM_ML,0
7280091,FAL,5704795,ST          0008,,,CAB_B,2022-02-10,18:14:50,72125,87,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,1301.0,1648.0,1648.0,1648.0,F1,12.0,2.0,86.0,2022-02-10 18:14:50,,,,,,,ID_PI_ALARM_ML,0
7280408,FAL,5704958,SB          0002,,,CAB_B,2022-02-10,19:31:12,217274,86,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,2231.0,2826.0,2826.0,2826.0,F1,25.0,0.0,100.0,2022-02-10 19:31:12,,,,,,,ID_PI_ALARM_ML,0
7280123,FAL,5704795,ST          0008,,,CAB_B,2022-02-10,20:38:38,124648,88,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,1525.0,1932.0,1932.0,1932.0,F1,13.0,1.0,93.0,2022-02-10 20:38:38,,,,,,,ID_PI_ALARM_ML,0
7280440,FAL,5704958,SB          0002,,,CAB_B,2022-02-10,21:22:53,269701,87,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,2192.0,2776.0,2776.0,2776.0,F1,24.0,0.0,100.0,2022-02-10 21:22:53,,,,,,,ID_PI_ALARM_ML,0
7280155,FAL,5704795,ST          0008,,,CAB_B,2022-02-10,22:11:45,177149,88,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,1344.0,1702.0,1702.0,1702.0,F1,14.0,0.0,100.0,2022-02-10 22:11:45,,,,,,,ID_PI_ALARM_ML,0
7281013,FAL,5705285,ST          0008,,,CAB_B,2022-02-11,06:33:13,34159,88,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,1711.0,2167.0,2167.0,2167.0,F1,19.0,1.0,95.0,2022-02-11 06:33:13,,,,,,,ID_PI_ALARM_ML,0
7281954,FAL,5705916,SB          0002,,,CAB_B,2022-02-11,07:09:46,34004,87,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,1862.0,2358.0,2358.0,2358.0,F1,21.0,0.0,100.0,2022-02-11 07:09:46,,,,,,,ID_PI_ALARM_ML,0
7281045,FAL,5705285,ST          0008,,,CAB_B,2022-02-11,07:44:16,86688,85,3,1,164,PVPL,PI_NORMAL,VERDE,DIR_NORMAL,1951.0,2471.0,2471.0,2471.0,F1,18.0,1.0,95.0,2022-02-11 07:44:16,,,,,,,ID_PI_ALARM_ML,0
