ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7497121,FAL,5899668,ST          0006,58.0,--,CAB_B,2022-04-20,12:55:52,172873,22,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,320.0,405.0,405.0,405.0,F2,5.0,45.0,10.0,2022-04-20 12:55:52,,,,,,,ID_TRAIN_ALARM_ML,0
7497122,FAL,5899668,ST          0006,,,CAB_B,2022-04-20,12:57:00,173389,32,3,1,8,AVVISO,PI_NORMAL,GIALLO,NEUTRO,2500.0,3167.0,3167.0,3167.0,F1,77.0,1.0,99.0,2022-04-20 12:57:00,,,,,,,ID_TRAIN_ALARM_ML,0
7497123,FAL,5899668,ST          0006,,,CAB_B,2022-04-20,12:58:46,174015,9,3,1,9,PROTEZIONE,PI_NORMAL,ROSSO_GIALLO,DIR_NORMAL,3043.0,3854.0,3854.0,3854.0,F1,278.0,1.0,100.0,2022-04-20 12:58:46,,,,,,,ID_TRAIN_ALARM_ML,0
