ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7344006,FAL,5767647,ST          0003,,,CAB_A,2022-03-04,20:09:59,179622,12,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,DIR_REVERSE,2500.0,3167.0,3167.0,3167.0,F1,139.0,0.0,100.0,2022-03-04 20:09:59,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7344877,FAL,5768165,ST          0001,,,CAB_A,2022-03-04,21:01:28,121156,9,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,DIR_REVERSE,2400.0,3040.0,3040.0,3040.0,F1,157.0,1.0,99.0,2022-03-04 21:01:28,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7344487,FAL,5768125,SB          0001,,,CAB_A,2022-03-04,22:20:25,58343,11,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,DIR_REVERSE,1711.0,2167.0,2167.0,2167.0,F1,120.0,0.0,100.0,2022-03-04 22:20:25,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7345245,FAL,5768459,SB          0001,,,CAB_A,2022-03-05,04:57:17,690,9,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,NEUTRO,1674.0,2120.0,2120.0,2120.0,F1,144.0,0.0,100.0,2022-03-05 04:57:17,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7345961,FAL,5768985,ST          0001,,,CAB_A,2022-03-05,07:29:22,58580,7,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,DIR_REVERSE,2500.0,3167.0,3167.0,3167.0,F1,176.0,0.0,100.0,2022-03-05 07:29:22,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7345920,FAL,5768982,SB          0001,,,CAB_A,2022-03-05,07:59:23,58364,9,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,DIR_REVERSE,1740.0,2204.0,2204.0,2204.0,F1,150.0,0.0,100.0,2022-03-05 07:59:23,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7346253,FAL,5769350,ST          0003,,,CAB_A,2022-03-05,08:43:58,59060,10,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,DIR_REVERSE,2619.0,3317.0,3317.0,3317.0,F1,162.0,0.0,100.0,2022-03-05 08:43:58,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7346381,FAL,5769563,SB          0002,,,CAB_A,2022-03-05,10:06:38,148660,10,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,DIR_REVERSE,2421.0,3066.0,3066.0,3066.0,F1,174.0,2.0,99.0,2022-03-05 10:06:38,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7346943,FAL,5770089,ST          0001,58.0,--,CAB_A,2022-03-05,10:55:45,58574,8,3,1,13,PARTENZA_DEV,PI_REVERSE,NESSUNO,DIR_REVERSE,758.0,960.0,960.0,960.0,F1,62.0,1.0,98.0,2022-03-05 10:55:45,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7346944,FAL,5770089,ST          0001,58.0,--,CAB_A,2022-03-05,10:55:46,58576,8,3,1,13,PARTENZA_DEV,PI_REVERSE,NESSUNO,DIR_REVERSE,0.0,0.0,0.0,0.0,F1,1.0,0.0,100.0,2022-03-05 10:55:46,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
97856,FAL,5770089,ST          0001,51.0,--,CAB_A,2022-03-05,10:56:07,58634,10,3,1,13,,PI_REVERSE,,,0.0,,,,F1,,,,2022-03-05 10:56:07,ST__________0001\2022-03_MARCH\2022-03-05\ST__________0001_22-03-05_09-23-23_CANMVB_00.TXT.GZ,9.15.X.4F,PRED_SSC_ATTIVO,ERRORE_VITALE,685,5500059,ID_PARALLEL_PI_ALARM_ML,1
7346833,FAL,5769939,SBT         0007,,,CAB_A,2022-03-05,11:40:54,230727,9,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,DIR_REVERSE,1948.0,2467.0,2467.0,2467.0,F1,177.0,1.0,99.0,2022-03-05 11:40:54,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7346387,FAL,5769564,ST          0003,,,CAB_A,2022-03-05,12:22:04,407,12,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,NEUTRO,1958.0,2480.0,2480.0,2480.0,F1,140.0,0.0,100.0,2022-03-05 12:22:04,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7346502,FAL,5769648,ST1NS       0007,,,CAB_A,2022-03-05,12:45:58,171399,11,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,DIR_REVERSE,1998.0,2531.0,2531.0,2531.0,F1,130.0,1.0,99.0,2022-03-05 12:45:58,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
7346839,FAL,5769940,SBT         0007,,,CAB_A,2022-03-05,13:13:10,887,9,3,1,13,PARTENZA_DEV,PI_REVERSE,VERDE,NEUTRO,1796.0,2275.0,2275.0,2275.0,F1,169.0,0.0,100.0,2022-03-05 13:13:10,,,,,,,ID_PARALLEL_PI_ALARM_ML,1
