ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7570413,FAL,5975478,SB          0011,,,CAB_B,2022-05-16,09:04:00,31584,19,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,2035.0,2578.0,2578.0,2578.0,F1,26.0,10.0,72.0,2022-05-16 09:04:00,,,,,,,ID_PI_ALARM_ML,0
7572492,FAL,5977488,F300        0314,,,CAB_B,2022-05-16,11:52:07,774,19,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1386.0,1756.0,1756.0,1756.0,F1,54.0,0.0,100.0,2022-05-16 11:52:07,,,,,,,ID_PI_ALARM_ML,0
7572248,FAL,5976921,SB          0011,,,CAB_B,2022-05-16,13:08:49,9386,25,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1776.0,2250.0,2250.0,2250.0,F1,37.0,22.0,63.0,2022-05-16 13:08:49,,,,,,,ID_PI_ALARM_ML,0
7574030,FAL,5978764,SB          0011,,,CAB_B,2022-05-17,09:04:47,31583,21,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1575.0,1995.0,1995.0,1995.0,F1,66.0,2.0,97.0,2022-05-17 09:04:47,,,,,,,ID_PI_ALARM_ML,0
7575922,FAL,5980601,F300        0314,,,CAB_B,2022-05-17,11:51:56,848,20,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1229.0,1557.0,1557.0,1557.0,F1,49.0,1.0,98.0,2022-05-17 11:51:56,,,,,,,ID_PI_ALARM_ML,0
7575454,FAL,5980088,SB          0009,,,CAB_B,2022-05-17,13:09:45,146264,24,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1471.0,1863.0,1863.0,1863.0,F1,58.0,1.0,98.0,2022-05-17 13:09:45,,,,,,,ID_PI_ALARM_ML,0
7577711,FAL,5981848,SB          0009,,,CAB_B,2022-05-18,09:03:05,31669,25,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1015.0,1286.0,1286.0,1286.0,F1,38.0,4.0,90.0,2022-05-18 09:03:05,,,,,,,ID_PI_ALARM_ML,0
7580177,FAL,5984143,SB          0009,,,CAB_B,2022-05-18,13:08:39,9400,20,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1589.0,2013.0,2013.0,2013.0,F1,69.0,0.0,100.0,2022-05-18 13:08:39,,,,,,,ID_PI_ALARM_ML,0
7581124,FAL,5985015,SB          0009,,,CAB_B,2022-05-19,09:02:39,31667,18,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1256.0,1591.0,1591.0,1591.0,F1,51.0,6.0,89.0,2022-05-19 09:02:39,,,,,,,ID_PI_ALARM_ML,0
7583542,FAL,5986840,F300        0314,58.0,--,CAB_B,2022-05-19,11:51:38,776,19,3,1,326,PARTENZA_CT,PI_NORMAL,NESSUNO,NEUTRO,863.0,1093.0,1093.0,1093.0,F1,17.0,5.0,77.0,2022-05-19 11:51:38,,,,,,,ID_PI_ALARM_ML,0
7586729,FAL,5988697,SB          0009,,,CAB_B,2022-05-19,13:09:00,9396,23,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1284.0,1626.0,1626.0,1626.0,F1,51.0,1.0,98.0,2022-05-19 13:09:00,,,,,,,ID_PI_ALARM_ML,0
7586895,FAL,5988698,SB          0009,,,CAB_B,2022-05-20,09:03:52,31568,21,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1156.0,1464.0,1464.0,1464.0,F1,37.0,12.0,76.0,2022-05-20 09:03:52,,,,,,,ID_PI_ALARM_ML,0
7586351,FAL,5988686,F300        0314,,,CAB_B,2022-05-20,11:52:06,859,20,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1009.0,1278.0,1278.0,1278.0,F1,54.0,1.0,98.0,2022-05-20 11:52:06,,,,,,,ID_PI_ALARM_ML,0
7586943,FAL,5988699,SB          0009,,,CAB_B,2022-05-20,13:08:32,9371,24,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1239.0,1569.0,1569.0,1569.0,F1,46.0,1.0,98.0,2022-05-20 13:08:32,,,,,,,ID_PI_ALARM_ML,0
7587109,FAL,5988701,SB          0009,,,CAB_B,2022-05-21,09:02:33,31671,27,3,1,326,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1309.0,1658.0,1658.0,1658.0,F1,47.0,0.0,100.0,2022-05-21 09:02:33,,,,,,,ID_PI_ALARM_ML,0
