ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7278524,FAL,5703580,SB          0001,,,CAB_B,2022-02-10,15:59:06,72,22,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1246.0,1578.0,1578.0,1578.0,F2,7.0,18.0,28.0,2022-02-10 15:59:06,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7279435,FAL,5704078,ST          0006,58.0,--,CAB_B,2022-02-10,16:54:07,60199,28,3,1,2,PARTENZA_CT,PI_NORMAL,NESSUNO,NEUTRO,693.0,878.0,878.0,878.0,F2,4.0,42.0,9.0,2022-02-10 16:54:07,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7280453,FAL,5704960,ST          0003,,,CAB_B,2022-02-10,17:46:45,75,17,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,2179.0,2760.0,2760.0,2760.0,F2,95.0,0.0,100.0,2022-02-10 17:46:45,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7280895,FAL,5705237,ST          0001,,,CAB_B,2022-02-10,18:06:56,118832,14,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1912.0,2422.0,2422.0,2422.0,F2,18.0,97.0,16.0,2022-02-10 18:06:56,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7279391,FAL,5704057,SBT         0005,,,CAB_B,2022-02-10,19:16:37,80,27,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,2245.0,2844.0,2844.0,2844.0,F2,58.0,0.0,100.0,2022-02-10 19:16:37,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7280742,FAL,5705187,SBT         0007,,,CAB_B,2022-02-10,20:20:09,64,26,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,2034.0,2576.0,2576.0,2576.0,F2,55.0,0.0,100.0,2022-02-10 20:20:09,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7280638,FAL,5705084,ST          0006,,,CAB_B,2022-02-10,20:52:54,1848,28,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1996.0,2528.0,2528.0,2528.0,F2,57.0,0.0,100.0,2022-02-10 20:52:54,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7280536,FAL,5704960,ST          0003,,,CAB_B,2022-02-10,21:26:30,120954,28,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,2173.0,2752.0,2752.0,2752.0,F2,58.0,3.0,95.0,2022-02-10 21:26:30,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7282313,FAL,5706192,SBT         0007,,,CAB_B,2022-02-11,06:16:57,1889,24,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,2060.0,2609.0,2609.0,2609.0,F2,61.0,1.0,98.0,2022-02-11 06:16:57,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7282396,FAL,5706192,SBT         0007,,,CAB_B,2022-02-11,09:18:37,122377,22,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,2134.0,2703.0,2703.0,2703.0,F2,65.0,0.0,100.0,2022-02-11 09:18:37,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7281835,FAL,5705846,ST          0003,,,CAB_B,2022-02-11,11:02:17,60571,31,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,2168.0,2746.0,2746.0,2746.0,F2,46.0,1.0,98.0,2022-02-11 11:02:17,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7282150,FAL,5706126,SBT         0007,,,CAB_B,2022-02-11,11:34:04,1868,29,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1001.0,1268.0,1268.0,1268.0,F2,27.0,20.0,57.0,2022-02-11 11:34:04,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7282277,FAL,5706159,ST          0008,,,CAB_B,2022-02-11,11:54:27,127416,15,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1787.0,2263.0,2263.0,2263.0,F2,54.0,0.0,100.0,2022-02-11 11:54:27,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7282550,FAL,5706370,SB          0002,58.0,--,CAB_B,2022-02-11,12:37:58,78,16,3,1,2,PARTENZA_CT,PI_NORMAL,NESSUNO,NEUTRO,231.0,293.0,293.0,293.0,F2,8.0,26.0,24.0,2022-02-11 12:37:58,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
7282664,FAL,5706466,SB          0001,,,CAB_B,2022-02-11,13:40:28,78,22,3,1,2,PARTENZA_CT,PI_NORMAL,VERDE,NEUTRO,1543.0,1954.0,1954.0,1954.0,F2,6.0,17.0,26.0,2022-02-11 13:40:28,,,,,,,ID_PARALLEL_PI_ALARM_ML,0
