ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
7246328,FAL,5675486,SB          0001,,,CAB_B,2022-01-31,16:10:05,59403,28,3,1,187,PROTEZIONE,PI_NORMAL,ROSSO_GIALLO_GIALLO,DIR_NORMAL,2810.0,3559.0,3559.0,3559.0,F1,86.0,0.0,100.0,2022-01-31 16:10:05,,,,,,,ID_PI_ALARM_ML,0
7247800,FAL,5676567,ST          0006,,,CAB_B,2022-01-31,17:07:45,181762,30,3,1,187,PROTEZIONE,PI_NORMAL,ROSSO_GIALLO,DIR_NORMAL,2398.0,3037.0,3037.0,3037.0,F1,81.0,0.0,100.0,2022-01-31 17:07:45,,,,,,,ID_PI_ALARM_ML,0
7246642,FAL,5675960,ST          0001,,,CAB_B,2022-01-31,18:18:45,59678,32,3,1,187,PROTEZIONE,PI_NORMAL,ROSSO_GIALLO_GIALLO,DIR_NORMAL,3190.0,4041.0,4041.0,4041.0,F1,84.0,0.0,100.0,2022-01-31 18:18:45,,,,,,,ID_PI_ALARM_ML,0
7247200,FAL,5676503,SB          0001,,,CAB_B,2022-01-31,19:30:35,59412,30,3,1,187,PROTEZIONE,PI_NORMAL,ROSSO_GIALLO,DIR_NORMAL,3014.0,3818.0,3818.0,3818.0,F1,91.0,1.0,99.0,2022-01-31 19:30:35,,,,,,,ID_PI_ALARM_ML,0
95573,FAL,5676503,SB          0001,59.0,LI,CAB_B,2022-01-31,19:38:40,60123,0,3,1,187,,PI_NORMAL,,,1237.4375,,,,F1,,,,2022-01-31 19:38:40,SB__________0001\2022-01_JANUARY\2022-01-31\SB__________0001_22-01-31_18-06-15_CANMVB_004.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,710,5591309,ID_PI_ALARM_ML,0
95574,FAL,5676503,SB          0001,59.0,LI,CAB_B,2022-01-31,19:38:40,60123,0,3,1,187,,PI_NORMAL,,,1237.4375,,,,F1,,,,2022-01-31 19:38:40,SB__________0001\2022-01_JANUARY\2022-01-31\SB__________0001_22-01-31_18-06-15_CANMVB_004.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,710,5592059,ID_PI_ALARM_ML,0
95576,FAL,5676503,SB          0001,59.0,KM,CAB_B,2022-01-31,19:38:41,60123,0,3,1,187,,PI_NORMAL,,,1237.4375,,,,F1,,,,2022-01-31 19:38:41,SB__________0001\2022-01_JANUARY\2022-01-31\SB__________0001_22-01-31_18-06-15_CANMVB_004.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,710,5593059,ID_PI_ALARM_ML,0
95577,FAL,5676503,SB          0001,59.0,LI,CAB_B,2022-01-31,19:38:43,60123,0,3,1,187,,PI_NORMAL,,,1237.4375,,,,F1,,,,2022-01-31 19:38:43,SB__________0001\2022-01_JANUARY\2022-01-31\SB__________0001_22-01-31_18-06-15_CANMVB_004.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,710,5594309,ID_PI_ALARM_ML,0
95578,FAL,5676503,SB          0001,59.0,LI,CAB_B,2022-01-31,19:38:44,60123,0,3,1,187,,PI_NORMAL,,,1237.4375,,,,F1,,,,2022-01-31 19:38:44,SB__________0001\2022-01_JANUARY\2022-01-31\SB__________0001_22-01-31_18-06-15_CANMVB_004.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,710,5595309,ID_PI_ALARM_ML,0
95579,FAL,5676503,SB          0001,59.0,LI,CAB_B,2022-01-31,19:38:45,60123,0,3,1,187,,PI_NORMAL,,,1237.4375,,,,F1,,,,2022-01-31 19:38:45,SB__________0001\2022-01_JANUARY\2022-01-31\SB__________0001_22-01-31_18-06-15_CANMVB_004.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,710,5596809,ID_PI_ALARM_ML,0
95580,FAL,5676503,SB          0001,59.0,KM,CAB_B,2022-01-31,19:38:47,60123,0,3,1,187,,PI_NORMAL,,,1237.4375,,,,F1,,,,2022-01-31 19:38:47,SB__________0001\2022-01_JANUARY\2022-01-31\SB__________0001_22-01-31_18-06-15_CANMVB_004.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,710,5598809,ID_PI_ALARM_ML,0
7246796,FAL,5676098,ST          0008,,,CAB_B,2022-01-31,20:41:39,59593,34,3,1,187,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,1133.0,1435.0,1435.0,1435.0,F1,29.0,6.0,83.0,2022-01-31 20:41:39,,,,,,,ID_PI_ALARM_ML,0
7247624,FAL,5676542,SBT         0007,,,CAB_B,2022-01-31,21:25:32,61876,46,3,1,187,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2788.0,3531.0,3531.0,3531.0,F1,53.0,0.0,100.0,2022-01-31 21:25:32,,,,,,,ID_PI_ALARM_ML,0
7247461,FAL,5676507,ST          0001,,,CAB_B,2022-01-31,22:14:42,61402,48,3,1,187,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2726.0,3453.0,3453.0,3453.0,F1,53.0,0.0,100.0,2022-01-31 22:14:42,,,,,,,ID_PI_ALARM_ML,0
7248230,FAL,5676963,ST          0008,,,CAB_B,2022-02-01,06:33:38,59594,50,3,1,187,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,1740.0,2204.0,2204.0,2204.0,F1,33.0,1.0,97.0,2022-02-01 06:33:38,,,,,,,ID_PI_ALARM_ML,0
