ID,ID_REPOSITORY,ID_RUN,MATRICOLA_TRENO,ERRORE,SOTTOERRORE,CAB,DATE,ORARIO_MMI,DISTANZA,VELOCITA,NID_MACROAREA,NID_AREA,NID_PI,TIP,DIREZIONE,ASPETTO,DIREZIONE_DI_MARCIA,AIRGAP_INDEX,LUNGH_CONTATTO_ASW,LUNGH_CONTATTO_ABS,LUNGH_CONTATTO_INCR,FREQUENZA,N_SSC_TELEGRAMS,N_SSC_WRONG_TELEGRAMS,PERC_RIEMPIMENTO,TIMESTAMP,LOG_CANMVB_PATH,FKVERSIONE_SSB_SCMT,MODO_OP_SSC,TIPO_ERRORE,PC,TS,fkID_ALARM,ID_ISSUE
99868,FAL,5813924,SB          0002,52.0,--,CAB_B,2022-03-19,19:34:07,60146,0,3,1,187,,PI_NORMAL,,,0.0,,,,F1,,,,2022-03-19 19:34:07,SB__________0002\2022-03_MARCH\2022-03-19\SB__________0002_22-03-19_18-05-25_CANMVB_004.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,706,5220561,ID_PI_ALARM_ML,0
99869,FAL,5813924,SB          0002,53.0,--,CAB_B,2022-03-19,19:34:07,60146,0,3,1,187,,PI_NORMAL,,,0.0,,,,F1,,,,2022-03-19 19:34:07,SB__________0002\2022-03_MARCH\2022-03-19\SB__________0002_22-03-19_18-05-25_CANMVB_004.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,706,5220561,ID_PI_ALARM_ML,0
99783,FAL,5810321,ST          0002,53.0,--,CAB_A,2022-03-19,19:41:51,61978,0,3,1,187,,PI_NORMAL,,,0.0,,,,F1,,,,2022-03-19 19:41:51,ST__________0002\2022-03_MARCH\2022-03-19\ST__________0002_22-03-19_17-22-59_CANMVB_013.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_NON_VITALE,631,8225800,ID_PI_ALARM_ML,0
99782,FAL,5810321,ST          0002,52.0,--,CAB_A,2022-03-19,19:41:51,61978,0,3,1,187,,PI_NORMAL,,,0.0,,,,F1,,,,2022-03-19 19:41:51,ST__________0002\2022-03_MARCH\2022-03-19\ST__________0002_22-03-19_17-22-59_CANMVB_013.TXT.GZ,9.15.X.4F,NON_ATTIVO,ERRORE_VITALE,631,8225800,ID_PI_ALARM_ML,0
7397654,FAL,5813328,SBT         0007,,,CAB_B,2022-03-19,20:42:52,59619,30,3,1,187,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2447.0,3099.0,3099.0,3099.0,F1,79.0,0.0,100.0,2022-03-19 20:42:52,,,,,,,ID_PI_ALARM_ML,0
7398074,FAL,5813600,SBT         0005,,,CAB_B,2022-03-19,22:15:27,61371,29,3,1,187,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2617.0,3315.0,3315.0,3315.0,F1,84.0,0.0,100.0,2022-03-19 22:15:27,,,,,,,ID_PI_ALARM_ML,0
7397612,FAL,5813283,ST          0002,,,CAB_B,2022-03-19,22:46:56,92291,29,3,1,187,PROTEZIONE,PI_NORMAL,ROSSO_GIALLO_GIALLO,DIR_NORMAL,3346.0,4238.0,4238.0,4238.0,F1,92.0,1.0,99.0,2022-03-19 22:46:56,,,,,,,ID_PI_ALARM_ML,0
7398335,FAL,5813739,SBT         0007,,,CAB_B,2022-03-21,06:41:18,59616,30,3,1,187,PROTEZIONE,PI_NORMAL,GIALLO,DIR_NORMAL,2907.0,3682.0,3682.0,3682.0,F1,83.0,0.0,100.0,2022-03-21 06:41:18,,,,,,,ID_PI_ALARM_ML,0
7399570,FAL,5814819,ST          0003,,,CAB_B,2022-03-21,08:07:08,61615,29,3,1,187,PROTEZIONE,PI_NORMAL,ROSSO_GIALLO_GIALLO,DIR_NORMAL,2877.0,3644.0,3644.0,3644.0,F1,86.0,1.0,99.0,2022-03-21 08:07:08,,,,,,,ID_PI_ALARM_ML,0
7399371,FAL,5814581,ST1NS       0007,,,CAB_B,2022-03-21,09:21:28,59596,26,3,1,187,PROTEZIONE,PI_NORMAL,ROSSO_GIALLO,DIR_NORMAL,2442.0,3093.0,3093.0,3093.0,F1,87.0,3.0,97.0,2022-03-21 09:21:28,,,,,,,ID_PI_ALARM_ML,0
