fkID_RUN,DISTANCE_AT,SPEED_AT,TS_AT,fkID_ISSUE,ID,CATEGORY
5929670,46480,89,1651344080,0,,IN_MISSION
5929671,166783,87,1651348446,0,,IN_MISSION
5932502,46048,86,1651356264,0,,IN_MISSION
5932503,108898,88,1651359025,0,,IN_MISSION
5932487,39952,88,1651361333,0,,IN_MISSION
5933147,46974,88,1651470323,0,,IN_MISSION
5933760,46402,88,1651474287,0,,IN_MISSION
5935520,109144,87,1651531742,0,,IN_MISSION
5936461,105582,87,1651560626,0,,IN_MISSION
5936750,107202,89,1651569500,0,,IN_MISSION
5937375,218313,81,1651577218,0,,IN_MISSION
5937185,159148,88,1651581252,0,,IN_MISSION
5937551,33566,79,1651583612,0,,IN_MISSION
5937964,108815,86,1651584786,0,,IN_MISSION
5937377,46404,86,1651591558,0,,IN_MISSION
